,Unnamed: 0,Unnamed: 0_x,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,0,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n204-k19.vrp,20024.0
1,1,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,1,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52061.0
2,2,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,2,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,903.0
3,3,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,3,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1172.0
4,4,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,4,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n247-k50.vrp,
5,5,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,5,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8535.0
6,6,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,6,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n162-k11.vrp,14380.0
7,7,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,7,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226106.0
8,8,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,8,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46377.0
9,9,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,9,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_18.vrp,1046.0
10,10,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,10,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97038.0
11,11,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,11,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT5.vrp,1325.0
12,12,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,12,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n209-k16.vrp,31575.0
13,13,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,13,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n701-k44.vrp,85796.0
14,14,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,14,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27978.0
15,15,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,15,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n376-k94.vrp,148624.0
16,16,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,16,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n957-k87.vrp,87589.0
17,17,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,17,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96330.0
18,18,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,18,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45156.0
19,19,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,19,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n613-k62.vrp,62312.0
20,20,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,20,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n716-k35.vrp,45778.0
21,21,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,21,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13769.0
22,22,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,22,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n214-k11.vrp,11363.0
23,23,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,23,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n384-k52.vrp,67855.0
24,24,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,24,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n411-k19.vrp,20418.0
25,25,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,25,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n344-k43.vrp,43522.0
26,26,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,26,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_20.vrp,1900.0
27,27,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,27,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT4.vrp,1039.0
28,28,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,28,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n284-k15.vrp,21343.0
29,29,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,29,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_1.vrp,5792.0
30,30,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,30,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_9.vrp,521.0
31,31,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,31,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n480-k70.vrp,91970.0
32,32,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,32,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n256-k16.vrp,19167.0
33,33,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,33,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT13.vrp,1543.0
34,34,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,34,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n837-k142.vrp,198679.0
35,35,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,35,K3C18J3,K3E3C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,29782.0
36,36,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,36,K3C18J3,K3E1C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n200-k36.vrp,60150.0
37,37,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,37,K3C18J3,K3E1C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp,28058.0
38,38,2,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,K3C18J3,38,K3C18J3,K3E1C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n134-k13.vrp,11120.0
