,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia
0,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,0,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/Golden_1.vrp
1,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,1,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp
2,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,2,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n641-k35.vrp
3,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,3,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/CMT7.vrp
4,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,4,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/CMT11.vrp
5,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,5,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp
6,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,6,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp
7,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,7,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n153-k22.vrp
8,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,8,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp
9,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,9,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp
10,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,10,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp
11,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,11,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/Golden_8.vrp
12,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,12,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n294-k50.vrp
13,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,13,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/Golden_20.vrp
14,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,14,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/CMT9.vrp
15,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,15,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n181-k23.vrp
16,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,16,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp
17,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,17,K3C18J2,K3E2C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/Golden_11.vrp
18,2,22.333333333333332,2.0,2,333,21,23,20,4,2,100,0.3,1.2,2.0,K3C18J2,18,K3C18J2,K3E3C18J2,/Users/jvmaues/Documents/Estudos/Mestrado/optimization/HGS-CVRP/Instances/CVRP/X-n548-k50.vrp
